Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Genesis 12-13,Genesis 12:1-3,Day 1 focus | Genesis 12:1-3,Generated by scripture harness,planned
2,1,Genesis 12-13,Genesis 12:4-6,Day 2 focus | Genesis 12:4-6,Generated by scripture harness,planned
3,1,Genesis 12-13,Genesis 12:7-9,Day 3 focus | Genesis 12:7-9,Generated by scripture harness,planned
4,1,Genesis 12-13,Genesis 12:10-12,Day 4 focus | Genesis 12:10-12,Generated by scripture harness,planned
5,1,Genesis 12-13,Genesis 12:13-15,Day 5 focus | Genesis 12:13-15,Generated by scripture harness,planned
6,1,Genesis 12-13,Genesis 12:16-19,Day 6 focus | Genesis 12:16-19,Generated by scripture harness,planned
7,1,Genesis 12-13,Genesis 12:20,Day 7 focus | Genesis 12:20,Generated by scripture harness,planned
8,2,Genesis 12-13,Genesis 13:3-5,Day 8 focus | Genesis 13:3-5,Generated by scripture harness,planned
9,2,Genesis 12-13,Genesis 13:6-8,Day 9 focus | Genesis 13:6-8,Generated by scripture harness,planned
10,2,Genesis 12-13,Genesis 13:9-11,Day 10 focus | Genesis 13:9-11,Generated by scripture harness,planned
11,2,Genesis 12-13,Genesis 13:12-14,Day 11 focus | Genesis 13:12-14,Generated by scripture harness,planned
12,2,Genesis 12-13,Genesis 13:15-18,Day 12 focus | Genesis 13:15-18,Generated by scripture harness,planned
