Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Psalms 23-25,Psalms 23:1-3,Day 1 focus | Psalms 23:1-3,Generated by scripture harness,planned
2,1,Psalms 23-25,Psalms 23:4-6,Day 2 focus | Psalms 23:4-6,Generated by scripture harness,planned
3,1,Psalms 23-25,Psalms 24:1-3,Day 3 focus | Psalms 24:1-3,Generated by scripture harness,planned
4,1,Psalms 23-25,Psalms 24:4-6,Day 4 focus | Psalms 24:4-6,Generated by scripture harness,planned
5,1,Psalms 23-25,Psalms 24:7-9,Day 5 focus | Psalms 24:7-9,Generated by scripture harness,planned
6,1,Psalms 23-25,Psalms 24:10,Day 6 focus | Psalms 24:10,Generated by scripture harness,planned
7,1,Psalms 23-25,Psalms 25:4-6,Day 7 focus | Psalms 25:4-6,Generated by scripture harness,planned
8,2,Psalms 23-25,Psalms 25:7-9,Day 8 focus | Psalms 25:7-9,Generated by scripture harness,planned
9,2,Psalms 23-25,Psalms 25:10-12,Day 9 focus | Psalms 25:10-12,Generated by scripture harness,planned
10,2,Psalms 23-25,Psalms 25:13-15,Day 10 focus | Psalms 25:13-15,Generated by scripture harness,planned
11,2,Psalms 23-25,Psalms 25:16-18,Day 11 focus | Psalms 25:16-18,Generated by scripture harness,planned
12,2,Psalms 23-25,Psalms 25:19-22,Day 12 focus | Psalms 25:19-22,Generated by scripture harness,planned
